  apex.x  apex.y  apex.z  axis.x  axis.y  axis.z  cosHalfAngle       E1+E2           E1   history_number
    2.13    1.89    1.26   -0.34    0.65   -0.79   0.56446935   0.68977800   0.25538300         4834
    2.55    4.79    0.67   -0.80    0.27   -0.03  -0.62430486   0.65906400   0.44611600         5083
    4.51    3.37   -0.82    0.47   -1.07   -0.69  -0.67565359   0.61302000   0.40937200         5091
    2.34    1.92   -0.63   -0.06    1.42    0.91   0.80883877   0.67164800   0.13487000         5100
    3.56    2.98    1.56   -1.65    0.37   -2.63  -0.01086516   0.69812500   0.40492300         5120
    2.90    3.52    0.46   -0.35    1.28    0.58   0.89474176   0.62408600   0.07108900         5149
    2.86    5.24   -1.35    0.62   -0.39    0.22  -0.43818939   0.64051000   0.41197600         5182
    7.13    2.95    1.06   -0.08    0.40    0.17   0.69727785   0.43965000   0.09084700         5396
    3.83    3.48    0.90   -0.70   -0.44    0.25  -0.70502945   0.36255100   0.19847900         5404
    1.18    2.09   -0.64    0.55    1.01    0.37   0.74060929   0.67011100   0.17008700         5420
    3.70    2.00    1.27    0.18    0.16   -0.02  -0.09822697   0.67119600   0.39639900         5552
    0.17    2.97   -1.44   -0.09    0.18    0.07   0.57043106   0.30300300   0.06151200         5677
    6.23    2.66   -1.21    0.27   -0.09    0.73  -0.70095772   0.57961200   0.38174800         5789
    0.91    1.81   -1.48   -0.62    1.22    0.28  -0.52751690   0.18279500   0.06459000         5967
    2.97    1.38   -0.10    0.92    0.89   -1.58   0.81455373   0.41662900   0.05472000         6115
    2.35    1.42    1.06   -0.60    0.90   -0.19   0.85487818   0.68500300   0.11155700         6257
    4.69    2.11   -0.74    0.43    1.87   -0.43   0.87884150   0.30227400   0.02021500         6342
    6.35    1.47    1.13    0.22    0.09    0.21   0.51531254   0.22055100   0.03815600         6355
    5.34    2.25    1.38   -0.01   -0.19   -0.03  -0.97258050   0.68104900   0.49338100         6468
    2.65    1.55    0.64   -0.40   -0.15   -0.03  -0.35360121   0.67521100   0.43307700         6532
