  apex.x  apex.y  apex.z  axis.x  axis.y  axis.z  cosHalfAngle          E0        Edpst   history_number
    4.18    3.74    0.96   -0.03    0.24    0.26   0.73768355   0.66100001   0.16746500         1517
    1.91    2.30    0.75    0.24    1.21   -0.68  -0.01046171   0.66100001   0.37449000         1543
    2.96    3.67    1.31   -1.97    0.06   -0.27   0.10729007   0.66100001   0.35423700         1648
    6.54    1.64    0.57   -2.12    3.60   -1.90   0.54165680   0.66100001   0.24603000         1655
    3.12    2.74   -1.40    0.04    1.90    0.17   0.97777131   0.66100001   0.01847500         1663
    2.96    4.08   -0.15    0.80    0.02    1.45  -0.34955955   0.66100001   0.42026100         1669
    3.24    2.55   -0.89   -0.37   -0.55    1.03  -0.39283466   0.66100001   0.42507100         1703
    5.43    1.32   -1.53   -0.25    1.91    0.13   0.94458009   0.66100001   0.04421600         1722
    3.42    1.96    0.66    0.21    0.35    0.65   0.49523889   0.66100001   0.26110400         1727
    0.27    1.69   -0.33    0.68    3.12   -0.89   0.86258718   0.66100001   0.09976000         1790
    6.34    4.49    0.03   -0.71    0.78    1.70   0.33792378   0.66100001   0.30493900         1802
    4.80    3.07   -1.65   -0.05   -0.09   -0.05  -0.54520919   0.66100001   0.44057800         1807
    4.06    1.38   -0.12   -0.35    0.64   -0.01   0.86193618   0.66100001   0.10016100         1828
    0.89    2.86    1.45   -0.58    0.44    0.17   0.78359327   0.66100001   0.14456600         1841
    1.50    2.88    0.14   -0.12    0.54    0.39   0.80084704   0.66100001   0.13540100         1852
    5.89    2.28   -0.17   -0.69   -0.04   -0.06  -0.29301111   0.66100001   0.41367200         1867
    6.64    2.42   -0.68    1.05    1.92   -0.49   0.95868435   0.66100001   0.03353400         1874
    4.56    1.32   -1.00    0.39    0.82    0.94   0.63499409   0.66100001   0.21199700         1888
    1.92    2.56   -1.16   -0.09    1.60    0.80   0.84348837   0.66100001   0.11129100         1927
    5.74    2.85    1.46   -0.29   -0.41   -0.53  -0.75570537   0.66100001   0.45892600         1935
    6.30    2.69   -1.57   -0.66    0.82    0.38   0.57049747   0.66100001   0.23607800         1961
    0.82    2.70    1.20   -0.64   -0.28    0.15  -0.28459999   0.66100001   0.41266100         1966
    6.78    2.25   -0.11    0.15   -0.10   -0.06  -0.26778591   0.66100001   0.41061500         1973
    5.09    1.48   -1.72   -0.75    1.01    1.27   0.43755288   0.66100001   0.27837700         1979
